battleID,reward,count
1,Shaak Ti,4
1,Mk 10 TaggeCo Holo Lens Salvage,1
1,Mk 1 Zaltin Bacta Gel Prototype Salvage,1
1,Ship Ability Material Omega,1
1,Ship Ability Material Mk III,1
2,Fragmented Signal Data,4
2,Ability Material Mk II,2
2,Ability Material Mk I,3
3,Jango Fett,2
3,Hound's Tooth,1
3,Mk 4 SoroSuub Keypad Salvage,3
3,Mk 3 Czerka Stun Cuffs Salvage,1
3,Mk 10 BlasTech Weapon Mod Salvage,2
3,Mk 7 BlasTech Weapon Mod Prototype Salvage,2
4,Droideka,6
4,Xanadu Blood,1
4,Mk 6 Nubian Security Scanner Prototype Salvage,1
4,Mk 2 Zaltin Bacta Gel Prototype Salvage,1
4,Mk 4 TaggeCo Holo Lens Salvage,1
5,B1 Battle Droid,4
5,Mk 9 Fabritech Data Pad Salvage,2
5,Mk 2 Sienar Holo Projector Prototype Salvage,1
5,Reinforcement Materials,1
6,Enfys Nest,2
6,Mk 10 Neuro-Saav Electrobinoculars Salvage,2
6,Reinforcement Materials,1
7,Carth Onasi,6
7,Mk 3 Carbanti Sensor Array Salvage,2
7,Mk 6 TaggeCo Holo Lens Prototype Salvage,1
7,Mk 2 Chedak Comlink Prototype,2
8,First Order Executioner,8
8,Ability Material Mk II,1
8,Ability Material Mk I,3
9,Admiral Piett,1
9,Resistance Hero Poe,8
9,Mk 1 Athakam Medpac Salvage,1
9,Mk 1 Carbanti Sensor Array Prototype Salvage,2
10,Mk 9 Fabritech Data Pad Salvage,1
10,Mk 10 Neuro-Saav Electrobinoculars Salvage,1
10,Mk 6 TaggeCo Holo Lens Prototype Salvage,1
11,Mk 10 TaggeCo Holo Lens Salvage,1
11,Mk 2 Sienar Holo Projector Prototype Salvage,1
11,Mk 1 Zaltin Bacta Gel Prototype Salvage,1
12,Mk 8 BioTech Implant Component,2
12,Mk 7 BAW Armor Mod Prototype Salvage,3
12,Mk 6 Fabritech Data Pad Salvage,4
12,Mk 3 BioTech Implant,2
13,Fragmented Signal Data,8
13,Ability Material Mk II,4
13,Ability Material Mk I,4
14,Mk 8 BioTech Implant Component,5
14,Mk 8 Nubian Design Tech Salvage,2
14,Mk 7 BAW Armor Mod Prototype Salvage,7
14,Mk 6 Fabritech Data Pad Salvage,4
14,Mk 3 BioTech Implant,10
15,Enfys Nest,2
15,Reinforcement Materials,1
16,Mk 1 BAW Armor Mod,1
16,Mk 3 Neuro-Saav Electrobinoculars,4
17,Jango Fett,4
17,Hound's Tooth,2
17,Mk 4 SoroSuub Keypad Salvage,1
17,Mk 10 BlasTech Weapon Mod Salvage,2
18,First Order Executioner,8
18,Ability Material Mk II,5
18,Ability Material Mk I,4
19,Mk 4 Arakyd Droid Caller Salvage,1
19,Mk 4 BAW Armor Mod Salvage,1
20,Shaak Ti,2
20,Mk 10 TaggeCo Holo Lens Salvage,1
20,Mk 1 Zaltin Bacta Gel Prototype Salvage,1
20,Mk 2 Sienar Holo Projector Prototype Salvage,1
20,Ship Ability Material Omega,1
21,Mk 8 BlasTech Weapon Mod Prototype Salvage,1
21,Mk 3 TaggeCo Holo Lens Prototype,1
22,Mk 5 A/KT Stun Gun Prototype Salvage,4
22,Mk 4 Loronar Power Cell Prototype,3
23,Mk 3 Neuro-Saav Electrobinoculars,5
