battleID,reward,count
1,Jango Fett,2
1,Hound's Tooth,2
1,Mk 4 SoroSuub Keypad Salvage,4
1,Mk 3 Czerka Stun Cuffs Salvage,1
1,Mk 10 BlasTech Weapon Mod Salvage,2
1,Mk 7 BlasTech Weapon Mod Prototype Salvage,1
2,Droideka,2
2,Mk 6 Nubian Security Scanner Prototype Salvage,2
2,Mk 4 Nubian Security Scanner Prototype Salvage,1
2,Mk 4 TaggeCo Holo Lens Salvage,1
3,Shaak Ti,6
3,Mk 2 Sienar Holo Projector Prototype Salvage,1
3,Mk 1 Zaltin Bacta Gel Prototype Salvage,2
3,Ship Ability Material Omega,1
4,B1 Battle Droid,2
4,Mk 2 Sienar Holo Projector Prototype Salvage,2
4,Ship Ability Material Omega,1
4,Ship Ability Material Mk II,1
5,Enfys Nest,2
5,Mk 4 Chiewab Hypo Syringe Prototype Salvage,1
5,Ship Ability Material Mk III,1
6,Mk 5 A/KT Stun Gun Prototype Salvage,1
6,Mk 7 BAW Armor Mod Prototype Salvage,9
6,Mk 4 Loronar Power Cell Prototype,7
7,Mk 5 A/KT Stun Gun Prototype Salvage,3
7,Mk 3 Chiewab Hypo Syringe Prototype Salvage,4
7,Mk 2 SoroSuub Keypad Prototype,4
8,Incomplete Signal Data,5
8,Ability Material Mk III,1
8,Ability Material Mk II,4
8,Ability Material Mk I,4
9,First Order Executioner,6
9,Ability Material Mk II,1
9,Ability Material Mk I,1
10,Emperor's Shuttle,2
10,Mk 5 Chiewab Hypo Syringe Prototype Salvage,1
10,Mk 1 Chedak Comlink Salvage,1
10,Mk 4 BAW Armor Mod Salvage,1
11,Bossk,2
11,Mk 9 Fabritech Data Pad Salvage,1
11,Mk 10 Neuro-Saav Electrobinoculars Salvage,1
11,Mk 5 Nubian Security Scanner Prototype Salvage,1
11,Mk 6 TaggeCo Holo Lens Prototype Salvage,1
12,Jango Fett,2
12,Hound's Tooth,3
12,Mk 4 SoroSuub Keypad Salvage,1
12,Mk 3 Czerka Stun Cuffs Salvage,2
12,Mk 7 BlasTech Weapon Mod Prototype Salvage,2
12,Mk 10 BlasTech Weapon Mod Salvage,2
13,Carth Onasi,2
13,Mk 6 TaggeCo Holo Lens Prototype Salvage,1
13,Mk 2 Chedak Comlink Prototype,1
13,Ship Ability Material Mk II,1
14,Mk 10 TaggeCo Holo Lens Salvage,1
15,Rey (Scavenger),6
15,Rey's Millennium Falcon,1
15,Mk 5 TaggeCo Holo Lens Prototype Salvage,3
15,Mk 1 Carbanti Sensor Array Prototype Salvage,2
15,Mk 2 CEC Fusion Furnace ,2
15,Mk 2 TaggeCo Holo Lens,3
16,Incomplete Signal Data,6
16,Ability Material Mk III,1
16,Ability Material Mk II,3
16,Ability Material Mk I,3
17,Mk 5 A/KT Stun Gun Prototype Salvage,4
17,Mk 3 Chiewab Hypo Syringe Prototype Salvage,6
17,Mk 2 SoroSuub Keypad Prototype,9
18,Enfys Nest,2
18,Mk 10 Neuro-Saav Electrobinoculars Salvage,1
18,Mk 4 Chiewab Hypo Syringe Prototype Salvage,1
18,Reinforcement Materials,1
19,Mk 8 BioTech Implant Component,1
19,Ship Ability Material Mk I,1
20,First Order Executioner,12
20,Ability Material Mk II,2
20,Ability Material Mk I,4
21,Shaak Ti,2
21,Mk 2 Sienar Holo Projector Prototype Salvage,2
21,Ship Ability Material Omega,1
22,Wicket,2
22,Mk 3 Chedak Comlink Prototype Salvage,2
22,Mk 5 A/KT Stun Gun Prototype Salvage,1
22,Mk 7 BAW Armor Mod Prototype Salvage,1
23,Rey (Scavenger),4
23,Mk 1 A/KT Stun Gun,3
23,Mk 2 BAW Armor Mod Prototype,1
23,Mk 1 Loronar Power Cell,3
24,B1 Battle Droid,2
24,Reinforcement Materials,2
