battleID,reward,count
1,B2 Super Battle Droid,10
1,Ability Material Mk III,2
1,Ability Material Mk II,7
1,Ability Material Mk I,6
2,B2 Super Battle Droid,6
2,Ability Material Mk III,1
2,Ability Material Mk II,2
2,Ability Material Mk I,1
3,Admiral Piett,1
3,Resistance Hero Poe,4
3,Mk 2 Zaltin Bacta Gel Prototype Salvage,2
3,Mk 1 Carbanti Sensor Array Prototype Salvage,2
3,Mk 1 Athakam Medpac Salvage,1
4,Anakin's Eta-2 Starfighter,1
4,Mk 8 BlasTech Weapon Mod Prototype Salvage,1
4,Mk 3 TaggeCo Holo Lens Prototype,2
4,Ship Ability Material Mk I,1
5,BTL-B Y-wing Starfighter,2
5,Ima-Gun Di,4
5,Mk 8 BlasTech Weapon Mod Prototype Salvage,2
5,Mk 6 TaggeCo Holo Lens Prototype Salvage,3
5,Mk 3 Merr-Sonn Thermal Detonator Prototype Salvage,1
6,Shaak Ti,2
6,Mk 1 Zaltin Bacta Gel Prototype Salvage,2
6,Reinforcement Materials,1
6,Ship Ability Material Mk II,1
7,Jango Fett,6
7,Hound's Tooth,1
7,Mk 3 Czerka Stun Cuffs Salvage,2
7,Mk 4 SoroSuub Keypad Salvage,1
7,Mk 7 BlasTech Weapon Mod Prototype Salvage,1
8,B1 Battle Droid,2
8,Reinforcement Materials,1
9,Bossk,4
9,Mk 9 Fabritech Data Pad Salvage,1
9,Mk 5 Nubian Security Scanner Prototype Salvage,1
9,Mk 10 Neuro-Saav Electrobinoculars Salvage,1
9,Mk 6 TaggeCo Holo Lens Prototype Salvage,1
10,Mk 8 BioTech Implant Component,3
10,Mk 6 Fabritech Data Pad Salvage,2
10,Mk 7 BAW Armor Mod Prototype Salvage,2
10,Mk 3 BioTech Implant,4
11,First Order Executioner,4
11,Ability Material Mk II,1
11,Ability Material Mk I,2
12,Carth Onasi,2
12,Mk 6 TaggeCo Holo Lens Prototype Salvage,1
12,Mk 2 Chedak Comlink Prototype,2
13,B2 Super Battle Droid,8
13,Ability Material Mk II,1
13,Ability Material Mk I,6
14,Droideka,4
14,Xanadu Blood,2
14,Mk 2 Zaltin Bacta Gel Prototype Salvage,1
14,Mk 4 Nubian Security Scanner Prototype Salvage,3
15,Mk 10 TaggeCo Holo Lens Salvage,2
15,Mk 5 Loronar Power Cell Salvage,2
15,Reinforcement Materials,2
15,Ship Ability Material Mk III,1
15,Ship Ability Material Mk II,1
15,Ship Ability Material Mk I,1
16,Mk 8 BioTech Implant Component,3
16,Mk 8 Nubian Design Tech Salvage,1
16,Mk 6 Fabritech Data Pad Salvage,1
16,Mk 7 BAW Armor Mod Prototype Salvage,3
16,Mk 3 BioTech Implant,4
17,First Order Executioner,10
17,Ability Material Mk II,2
17,Ability Material Mk I,2
18,Mk 3 Carbanti Sensor Array Salvage,1
18,Mk 6 TaggeCo Holo Lens Prototype Salvage,1
19,Bossk,4
19,Mk 9 Fabritech Data Pad Salvage,1
19,Mk 5 Nubian Security Scanner Prototype Salvage,2
19,Mk 10 Neuro-Saav Electrobinoculars Salvage,2
20,Hound's Tooth,1
20,Mk 4 SoroSuub Keypad Salvage,2
20,Mk 3 Czerka Stun Cuffs Salvage,1
20,Mk 10 BlasTech Weapon Mod Salvage,1
20,Mk 7 BlasTech Weapon Mod Prototype Salvage,1
21,Shaak Ti,2
21,Mk 10 TaggeCo Holo Lens Salvage,3
21,Mk 2 Sienar Holo Projector Prototype Salvage,1
