battleID,reward,count
1,IG-100 MagnaGuard,8
1,Ability Material Mk I,2
2,IG-100 MagnaGuard,6
2,Ability Material Mk III,2
2,Ability Material Mk II,2
2,Ability Material Mk I,3
3,IG-100 MagnaGuard,10
3,Ability Material Mk II,3
3,Ability Material Mk I,2
4,Amilyn Holdo,4
4,Mk 5 Merr-Sonn Thermal Detonator Prototype Salvage,1
4,Mk 7 BlasTech Weapon Mod Prototype Salvage,3
4,Mk 3 Chiewab Hypo Syringe Prototype Salvage,3
5,BTL-B Y-wing Starfighter,2
5,Ima-Gun Di,4
5,Mk 6 Chiewab Hypo Syringe Salvage,1
5,Mk 6 TaggeCo Holo Lens Prototype Salvage,1
5,Mk 3 Merr-Sonn Thermal Detonator Prototype Salvage,1
6,Jango Fett,2
6,Hound's Tooth,4
6,Mk 4 SoroSuub Keypad Salvage,2
6,Mk 3 Czerka Stun Cuffs Salvage,2
6,Mk 7 BlasTech Weapon Mod Prototype Salvage,4
6,Mk 10 BlasTech Weapon Mod Salvage,1
7,Shaak Ti,6
7,Mk 10 TaggeCo Holo Lens Salvage,2
7,Reinforcement Materials,1
8,Xanadu Blood,2
8,Mk 6 Nubian Security Scanner Prototype Salvage,1
8,Mk 2 Zaltin Bacta Gel Prototype Salvage,3
8,Mk 4 TaggeCo Holo Lens Salvage,3
8,Mk 4 Nubian Security Scanner Prototype Salvage,1
9,B1 Battle Droid,4
9,Mk 9 Fabritech Data Pad Salvage,1
9,Mk 2 Sienar Holo Projector Prototype Salvage,1
9,Mk 1 Chedak Comlink Salvage,1
9,Reinforcement Materials,2
9,Ship Ability Material Mk I,1
10,Mk 4 BAW Armor Mod Salvage,2
10,Mk 2 TaggeCo Holo Lens,1
10,Mk 1 BlasTech Weapon Mod,1
11,Ship Ability Material Mk II,1
12,Threepio & Chewie,3
12,Mk 3 Sienar Holo Projector Salvage,2
12,Mk 5 SoroSuub Keypad Salvage,2
12,Mk 7 BAW Armor Mod Prototype Salvage,3
13,IG-100 MagnaGuard,14
13,Ability Material Mk II,2
13,Ability Material Mk I,2
14,Enfys Nest,2
14,Ship Ability Material Omega,2
14,Reinforcement Materials,1
15,Mk 3 Merr-Sonn Thermal Detonator Prototype Salvage,5
15,Mk 8 Neuro-Saav Electrobinoculars Salvage,2
15,Mk 6 Arakyd Droid Caller Salvage,3
15,Mk 4 Merr-Sonn Thermal Detonator Prototype Salvage,3
15,Mk 4 BioTech Implant Prototype,5
16,Mk 3 Merr-Sonn Thermal Detonator Prototype Salvage,1
16,Mk 2 Arakyd Droid Caller,4
17,Mk 3 Merr-Sonn Thermal Detonator Prototype Salvage,2
17,Mk 6 Arakyd Droid Caller Salvage,1
17,Mk 8 Neuro-Saav Electrobinoculars Salvage,1
17,Mk 4 Merr-Sonn Thermal Detonator Prototype Salvage,3
17,Mk 4 BioTech Implant Prototype,3
18,Mk 3 Merr-Sonn Thermal Detonator Prototype Salvage,1
18,Mk 2 Arakyd Droid Caller,3
18,Ship Ability Material Mk I,1
