battleID,reward,count
1,L3-37,10
1,Ability Material Mk III,2
1,Ability Material Mk II,3
1,Ability Material Mk I,4
2,L3-37,2
2,Ability Material Mk II,2
2,Ability Material Mk I,2
3,Rey (Scavenger),2
3,Rey's Millennium Falcon,1
3,Mk 5 TaggeCo Holo Lens Prototype Salvage,1
3,Mk 1 Carbanti Sensor Array Prototype Salvage,1
3,Mk 2 TaggeCo Holo Lens,3
3,Mk 2 CEC Fusion Furnace,1
4,Bossk,4
4,Mk 9 Fabritech Data Pad Salvage,1
4,Mk 5 Nubian Security Scanner Prototype Salvage,2
4,Mk 10 Neuro-Saav Electrobinoculars Salvage,1
4,Mk 6 TaggeCo Holo Lens Prototype Salvage,3
5,Jango Fett,2
5,Hound's Tooth,2
5,Mk 4 SoroSuub Keypad Salvage,1
5,Mk 3 Czerka Stun Cuffs Salvage,3
5,Mk 7 BlasTech Weapon Mod Prototype Salvage,3
5,Mk 10 BlasTech Weapon Mod Salvage,2
6,Anakin's Eta-2 Starfighter,1
6,Mk 8 BlasTech Weapon Mod Prototype Salvage,1
6,Mk 3 TaggeCo Holo Lens Prototype,1
7,Shaak Ti,4
8,First Order Executioner,6
8,Ability Material Mk II,1
8,Ability Material Mk I,3
9,Admiral Piett,1
9,Resistance Hero Poe,4
9,Mk 5 Nubian Design Tech Prototype Salvage,2
9,Mk 2 Zaltin Bacta Gel Prototype Salvage,1
9,Mk 1 Carbanti Sensor Array Prototype Salvage,4
9,Mk 1 Athakam Medpac Salvage,2
10,Mk 4 Arakyd Droid Caller Salvage,2
10,Mk 5 Chiewab Hypo Syringe Prototype Salvage,1
10,Mk 1 Chedak Comlink Salvage,1
10,Mk 4 BAW Armor Mod Salvage,2
11,Sun Fac's Geonosian Starfighter,2
11,Mk 2 Zaltin Bacta Gel Prototype Salvage,3
11,Mk 1 Carbanti Sensor Array Prototype Salvage,2
11,Mk 1 CEC Fusion Furnace,2
12,Mk 4 Arakyd Droid Caller Salvage,1
13,First Order Executioner,4
13,Ability Material Mk I,1
14,Jango Fett,6
14,Hound's Tooth,4
14,Mk 3 Czerka Stun Cuffs Salvage,1
14,Mk 4 SoroSuub Keypad Salvage,1
14,Mk 10 BlasTech Weapon Mod Salvage,1
15,Mk 2 Chedak Comlink Prototype,1
16,Mk 3 TaggeCo Holo Lens Prototype,1
17,L3-37,6
17,Ability Material Mk III,1
17,Ability Material Mk I,4
18,Shaak Ti,2
18,Mk 10 TaggeCo Holo Lens Salvage,1
18,Mk 2 Sienar Holo Projector Prototype Salvage,1
19,BTL-B Y-wing Starfighter,3
19,Ima-Gun Di,4
19,Mk 8 BlasTech Weapon Mod Prototype Salvage,1
19,Mk 3 Merr-Sonn Thermal Detonator Prototype Salvage,1
19,Mk 6 TaggeCo Holo Lens Prototype Salvage,3
20,Mk 1 CEC Fusion Furnace,5
20,Mk 2 Zaltin Bacta Gel Prototype Salvage,5
20,Mk 1 Carbanti Sensor Array Prototype Salvage,3
21,Mk 3 Sienar Holo Projector Salvage,1
21,Mk 3 Neuro-Saav Electrobinoculars,4
