battleID,reward,count
1,IG-100 MagnaGuard,4
1,Ability Material Mk III,1
1,Ability Material Mk I,1
2,Jango Fett,4
2,Hound's Tooth,2
2,Mk 3 Czerka Stun Cuffs Salvage,1
2,Mk 7 BlasTech Weapon Mod Prototype Salvage,1
2,Mk 10 BlasTech Weapon Mod Salvage,1
3,BTL-B Y-wing Starfighter,1
3,Ima-Gun Di,6
3,Mk 6 TaggeCo Holo Lens Prototype Salvage,3
3,Mk 3 Merr-Sonn Thermal Detonator Prototype Salvage,2
4,Amilyn Holdo,4
4,Mk 5 Merr-Sonn Thermal Detonator Prototype Salvage,2
4,Mk 5 A/KT Stun Gun Prototype Salvage,1
4,Mk 7 BlasTech Weapon Mod Prototype Salvage,3
4,Mk 3 Chiewab Hypo Syringe Prototype Salvage,1
5,Droideka,2
5,Xanadu Blood,2
5,Mk 6 Nubian Security Scanner Prototype Salvage,1
5,Mk 2 Zaltin Bacta Gel Prototype Salvage,2
5,Mk 4 Nubian Security Scanner Prototype Salvage,3
6,Shaak Ti,4
6,Mk 10 TaggeCo Holo Lens Salvage,1
6,Reinforcement Materials,1
7,Mk 1 Chedak Comlink Salvage,1
8,Resistance Trooper,8
8,Mk 4 BAW Armor Mod Salvage,1
8,Mk 2 TaggeCo Holo Lens,1
8,Mk 1 BlasTech Weapon Mod,2
9,IG-100 MagnaGuard,12
9,Ability Material Mk II,2
9,Ability Material Mk I,3
10,Mk 5 Athakam Medpac Component,3
10,Mk 6 Carbanti Sensor Array Salvage,2
10,Mk 1 Zaltin Bacta Gel Prototype Salvage,8
10,Mk 3 Chiewab Hypo Syringe Prototype Salvage,4
10,Mk 5 BlasTech Weapon Mod Prototype,7
11,B1 Battle Droid,4
11,Reinforcement Materials,1
11,Ship Ability Material Mk I,1
12,Enfys Nest,4
12,Mk 10 Neuro-Saav Electrobinoculars Salvage,1
13,Mk 10 Neuro-Saav Electrobinoculars Salvage,1
13,Mk 4 Chiewab Hypo Syringe Prototype Salvage,1
13,Reinforcement Materials,1
14,Mk 3 Merr-Sonn Thermal Detonator Prototype Salvage,1
14,Mk 1 Merr-Sonn Shield Generator,7
